id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
89,5,Heinsberg,140604,64121,39301,11652,9334,6424,6964,2808,45.60396574777389,27.95155187619129,8.287104207561663,6.638502460811925,4.568860060880202,4.952917413444853,1.9970982333361782,CDU_CSU,45.60396574777389,SPD,27.95155187619129
90,5,Düren,149838,62711,47543,13404,8788,6611,8235,2546,41.852534070129074,31.72960130274029,8.945661314219358,5.865000867603679,4.412098399604907,5.495935610459296,1.699168435243396,CDU_CSU,41.852534070129074,SPD,31.72960130274029
91,5,Rhein-Erft-Kreis I,189339,74207,58792,17113,17648,8590,10354,2635,39.1926650082656,31.051183327259572,9.038285825952393,9.320847791527367,4.536836045400049,5.468498301987441,1.391683699607582,CDU_CSU,39.1926650082656,SPD,31.051183327259572
92,5,Euskirchen – Rhein-Erft-Kreis II,185575,79493,48592,17650,18316,10835,10689,0,42.836050114508964,26.18456149804661,9.510979388387444,9.869863936413848,5.838609726525664,5.759935336117473,0,CDU_CSU,42.836050114508964,SPD,26.18456149804661
93,5,Köln I,138196,43683,42799,11952,10652,11898,13535,3677,31.609453240325337,30.969782048684475,8.648586066166894,7.707893137283278,8.609511129120959,9.794060609569017,2.660713768850039,CDU_CSU,31.609453240325337,SPD,30.969782048684475
94,5,Köln II,196761,68657,52880,9057,17816,15704,28716,3931,34.89360188248688,26.875244586071428,4.6030463354018325,9.054639893068241,7.981256448178247,14.594355588759967,1.997855266033411,CDU_CSU,34.89360188248688,SPD,26.875244586071428
95,5,Köln III,149098,41106,48148,11249,10599,14431,19621,3944,27.56978631504111,32.29285436424365,7.544702142215187,7.108747266898281,9.678868931843486,13.15980093629693,2.6452400434613477,SPD,32.29285436424365,CDU_CSU,27.56978631504111
96,5,Bonn,178941,57330,62377,10882,18724,10193,15056,4379,32.038493134608615,34.85897586355279,6.081334071006644,10.463784152318361,5.696290956236972,8.413946496331192,2.4471753259454236,SPD,34.85897586355279,CDU_CSU,32.038493134608615
97,5,Rhein-Sieg-Kreis I,180563,79987,49988,NA,18768,14684,11762,NA,44.298665839623844,27.684520084402674,NA,10.394156056334907,8.132341620376266,6.514069881426428,NA,CDU_CSU,NA,SPD,27.684520084402674
98,5,Rhein-Sieg-Kreis II,172898,80441,39246,14592,14491,9543,13643,942,46.52511885620424,22.69893231847679,8.439658064292242,8.381242119631228,5.519439206931255,7.8907795347545955,0.5448298997096553,CDU_CSU,46.52511885620424,SPD,22.69893231847679
99,5,Oberbergischer Kreis,154631,67603,41305,15648,12123,7999,9489,464,43.718917940128435,26.711978839948003,10.119574988197709,7.839954472259766,5.172960143826271,6.136544418648266,0.3000691969915476,CDU_CSU,43.718917940128435,SPD,26.711978839948003
100,5,Rheinisch-Bergischer Kreis,172240,68948,42098,12476,27049,8409,11846,1414,40.03019043195541,24.441477008824897,7.243381328379006,15.704249883882953,4.882141198327915,6.8776126335346035,0.8209475150952159,CDU_CSU,40.03019043195541,SPD,24.441477008824897
101,5,Leverkusen – Köln IV,153520,47272,59373,13408,10114,9430,8722,5201,30.792079207920793,38.6744398124023,8.73371547681084,6.588066701406984,6.142522146951538,5.681344450234497,3.3878322042730593,SPD,38.6744398124023,CDU_CSU,30.792079207920793
102,5,Wuppertal I,148006,43814,46657,16339,12910,13120,10987,4179,29.602853938353853,31.52372201126981,11.039417320919421,8.722619353269462,8.864505493020554,7.423347702120184,2.823534181046714,SPD,31.52372201126981,CDU_CSU,29.602853938353853
